IDNO,State,Class,Name,Population,Lat,Long
1,Huntington,town,Marysville,,-37.6018362,157.6648756
2,Huntington,town,Mintington,,-37.5432983,157.7580591
3,Huntington,town,Old Huntington,,-37.5511757,157.9459929
4,Huntington,city,Huntington,,-37.5693394,157.8944188
5,Huntington,village,Higginsbourne,,-37.520819,157.836356
6,Huntington,village,Acorncamp,,-37.5920765,157.9858664
7,Huntington,village,Dunwoodie Corners,,-37.5981399,157.7130276
8,Huntington,village,Congress Heights,,-37.5926992,157.6830538
9,Huntington,village,Mintington Common,,-37.5352255,157.7719929
10,Huntington,village,North Glen Holden,,-37.6287018,157.9986982
11,Huntington,village,Midsummernight Hill,,-37.6549747,157.9036823
12,Huntington,village,Greythrope Hill,,-37.5326142,158.0286082
13,Huntington,village,Lopeewatop Hill,,-37.5171078,157.9202289
14,Huntington,village,East Dunwoodie,,-37.599006,157.7384697
15,Huntington,village,Emerson Point,,-37.6120084,157.7688831
16,Huntington,village,Juliansson Hills,,-37.537975,157.6554951
17,Huntington,village,Clayton,,-37.5142149,157.4825602
18,Huntington,village,Foxbush,,-37.5267993,157.5675006
19,Huntington,village,Canthby,,-37.5739674,157.5932496
20,Huntington,village,Raskabent Village,,-37.5140969,157.7181799
21,Huntington,village,South Marysville,,-37.6230752,157.6747435
22,Huntington,village,Randalltown,,-37.5874744,157.6202868
23,Huntington,village,Montrose,,-37.5712653,157.7243148
24,Huntington,village,Evergreen Hills,,-37.6274163,157.7112521
25,Huntington,village,West Emerson,,-37.6154173,157.7378811
26,Huntington,village,Ellington,,-37.5645469,157.7302639
27,Huntington,village,Bellesville,,-37.5756473,157.759689
28,Huntington,village,North Marysville,,-37.5711169,157.6795674
29,Huntington,village,Orlynton,,-37.6473814,157.7852391
30,Huntington,village,Sparrows Hill,,-37.6470692,157.8827232
31,Huntington,village,Kellingham,,-37.6525327,157.7434198
32,Huntington,village,Eastlynn,,-37.6386412,157.7971357
33,Huntington,village,Speedway Village,,-37.5729937,157.5514112
34,Huntington,village,Hawthorne,,-37.663972,157.7252706
35,Huntington,village,Newydd Station,,-37.6819598,157.679982
36,Huntington,village,Royal Gardens,,-37.69333,157.6943031
37,Huntington,village,Old Debling,,-37.5805849,158.0400394
38,Huntington,village,New Debling,,-37.589138,158.0432947
39,Huntington,village,Anderson Reach,,-37.7004632,157.7543233
40,AR120-04,town,Port Robert,,-38.0005971,159.373008
41,AR120-04,village,Loseyershoe,,-37.9467748,159.4065826
42,AR120-04,village,Riggs Corner,,-37.966705,159.3695041
43,AR120-04,village,Lynn Crossing,,-37.8942445,159.4455242
44,AR120-04,town,King's Bay,,-37.7030696,160.5649562
45,AR120-04,town,Fort Gumryn,,-37.7534124,160.6551559
46,AR120-04,village,Cape Magnolia,,-37.8147735,160.563181
47,AR120-04,village,Port Jeremy,,-37.733023,160.6006182
48,AR120-04,village,Dempsterville,,-37.7582217,160.6200573
49,AR120-04,village,Green Valley,,-37.7162495,160.6933305
50,AR120-04,village,Bletchley,,-37.6538143,160.6464472
51,AR120-04,village,Belleville,,-37.7212493,160.6724339
52,AR120-04,village,South Decker,,-37.8369874,159.4569229
53,AR120-04,hamlet,Decker's Ferry,,-37.8009538,159.4694676
54,AR120-04,village,Tapplingtons Rock,,-37.7767399,160.5947783
55,AR120-04,town,Gilbertville,,-37.6099015,160.6011199
56,AR120-04,village,Kings Bay Ferry,,-37.7149805,160.5881426
57,AR120-04,village,Dexters Landing,,-37.594793,160.5635617
58,AR120-04,village,Salmon,,-37.507857,160.5769447
59,AR120-04,village,Vessington Bridge,,-37.5470226,160.6387264
60,AR120-04,village,White Horse,,-37.6030451,160.7217264
61,AR120-04,village,Taille,,-37.5951017,160.7439294
62,AR120-04,village,Bridgetown,,-37.594218,160.5472758
63,AR120-04,town,Oakhill Junction,,-37.599618,160.5024749
64,AR120-04,village,Wells,,-37.6498511,160.5756616
65,AR120-04,village,Magnolia Bluff,,-37.781465,160.4840856
66,AR120-04,village,South Dexter,,-37.6030123,160.5523324
67,AR120-04,village,Richmond Garden,,-37.6950204,160.6236054
68,AR120-04,village,Surtess,,-37.6619488,160.6937199
69,AR120-04,village,Fork,,-37.7595326,160.7253348
70,AR120-04,village,Knee,,-37.5219754,160.5249956
71,AR120-04,town,Orlando,,-37.6689342,160.8242463
72,AR120-04,village,Oakhill Ocean Park,,-37.7560871,160.5986546
73,AR120-04,village,Ardentic Park,,-37.7239968,160.5970078
74,AR120-04,village,Horthing,,-37.5898918,160.8541478
75,AR120-04,town,Oxlake,,-37.5921156,160.934581
76,AR120-04,village,Hornets Nest,,-37.5389857,160.7420882
77,AR120-04,village,Baum Hill,,-37.7221186,159.723157
78,AR120-04,village,Holton,,-37.744366,159.8279435
79,AR120-04,village,Bay Side,,-37.7274813,160.5018431
80,AR120-04,town,Mary's Crossroads,,-37.7250076,160.0168367
81,AR120-04,town,Brownville,,-37.7856691,159.672305
82,AR120-04,village,Green Grove,,-37.6651436,160.4922871
83,AR120-04,town,Kenton,,-37.6109498,159.7227506
84,AR120-04,village,Prairie,,-37.8236192,160.3638361
85,AR120-04,village,Near Union,,-37.7558199,160.3273366
86,AR120-04,village,Grover Hill,,-37.6950071,160.1978101
87,AR120-04,village,Round Lake,,-37.6180207,159.8723804
88,AR120-04,village,North Brownville,,-37.7775393,159.6672276
89,AR120-04,village,Emblotts Cross,,-37.6376157,160.7298489
90,AR120-04,village,Tackleton,,-37.6439703,160.7728032
91,AR120-04,village,Andrews Chapel,,-37.5514844,159.8044735
92,AR120-04,village,Dennis Lawn,,-37.5902718,159.9930784
93,AR120-04,village,Misery,,-37.5584504,160.233525
94,AR120-04,village,Annandale,,-37.7622716,160.114907
95,AR120-04,village,Baitntackle,,-37.8255313,159.5869732
96,AR120-04,village,Truesdale,,-37.8432155,159.4798672
97,AR120-04,village,County Line,,-37.771849,159.727883
98,AR120-04,village,Margereths Cross,,-37.6742978,160.6604383
99,AR120-04,village,Scalsocor,,-37.6703225,160.6154596
100,AR120-04,village,Duke's Bog,,-37.7109009,160.3676891
101,AR120-04,village,Red Wolfe,,-37.6618325,160.714547
102,AR120-04,village,Rye,,-37.6355727,160.6778007
103,AR120-04,village,Grilsehaugh,,-37.5750793,160.6342177
104,AR120-04,village,Rosewood Station,,-37.6891608,160.0312221
105,AR120-04,village,Creekside,,-37.6908503,160.0955844
106,AR120-04,village,Rosewood,,-37.6528141,160.0145709
107,AR120-04,village,Bracy,,-37.7052352,159.9397266
108,AR120-04,village,Sireen Lake,,-37.521199,160.555222
109,AR120-04,village,Curtius,,-37.5425206,160.5890053
110,AR120-04,village,Bartley Cross,,-37.5607913,160.5286709
111,AR120-04,village,Balderson,,-37.5077848,160.5034463
112,AR120-04,village,Greysons Mill,,-37.5604817,160.6936583
113,AR120-04,village,Rowardenan,,-37.5195535,160.6362683
114,AR120-04,village,Castor Village,,-37.5016195,160.6253126
115,AR120-04,village,Ruben,,-37.5318493,160.6435645
116,AR120-04,village,Wicotapa,,-37.5602512,160.6664679
